Date,Equity,Open,Gap,TrueRange,Trades
04/01/2008,0.00000,0,0.00000,0.00000,0
04/02/2008,0.00000,0,0.00000,0.00000,0
04/03/2008,0.00000,0,0.00000,0.00000,0
04/04/2008,0.00000,0,0.00000,0.00000,0
04/05/2008,0.00000,0,0.00000,0.00000,0
04/06/2008,0.00000,0,0.00000,0.00000,0
04/07/2008,0.00000,0,0.00000,0.00000,0
04/08/2008,0.00000,0,0.00000,0.00000,0
04/09/2008,0.00000,0,0.00000,0.00000,0
04/10/2008,0.00000,0,0.00000,0.00000,0
04/11/2008,0.00000,0,0.00000,0.00000,0
04/12/2008,0.00000,0,0.00000,0.00000,0
04/13/2008,0.00000,0,0.00000,0.00000,0
04/14/2008,0.00000,0,0.00000,0.00000,0
04/15/2008,0.00000,0,0.00000,0.00000,0
04/16/2008,0.00000,0,0.00000,0.00000,0
04/17/2008,0.00000,0,0.00000,0.00000,0
04/18/2008,0.00000,0,0.00000,0.00000,0
04/19/2008,0.00000,0,0.00000,0.00000,0
04/20/2008,0.00000,0,0.00000,0.00000,0
04/21/2008,0.00000,0,0.00000,0.00000,0
04/22/2008,0.00000,0,0.00000,0.00000,0
04/23/2008,0.00000,0,0.00000,0.00000,0
04/24/2008,0.00000,0,0.00000,0.00000,0
04/25/2008,0.00000,0,0.00000,0.00000,0
04/26/2008,0.00000,0,0.00000,0.00000,0
04/27/2008,0.00000,0,0.00000,0.00000,0
04/28/2008,0.00000,0,0.00000,0.00000,0
04/29/2008,0.00000,0,0.00000,0.00000,0
04/30/2008,0.00000,0,0.00000,0.00000,0
05/01/2008,-1520.00000,0,0.00000,4930.00000,10
05/02/2008,0.00000,0,0.00000,5020.00000,10
05/03/2008,0.00000,0,0.00000,0.00000,10
05/04/2008,0.00000,0,0.00000,0.00000,10
05/05/2008,0.00000,0,0.00000,4310.00000,10
05/06/2008,0.00000,0,0.00000,3400.00000,10
05/07/2008,0.00000,0,0.00000,3360.00000,10
05/08/2008,0.00000,0,0.00000,3030.00000,10
05/09/2008,0.00000,0,0.00000,2190.00000,10
05/10/2008,0.00000,0,0.00000,0.00000,10
05/11/2008,0.00000,0,0.00000,0.00000,10
05/12/2008,0.00000,0,0.00000,2670.00000,10
05/13/2008,0.00000,0,0.00000,3880.00000,10
05/14/2008,0.00000,0,0.00000,2270.00000,10
05/15/2008,0.00000,0,0.00000,5890.00000,10
05/16/2008,0.00000,0,0.00000,3680.00000,10
05/17/2008,0.00000,0,0.00000,0.00000,10
05/18/2008,0.00000,0,0.00000,0.00000,10
05/19/2008,0.00000,0,0.00000,2370.00000,10
05/20/2008,0.00000,0,0.00000,3010.00000,10
05/21/2008,0.00000,0,0.00000,5500.00000,10
05/22/2008,3380.00000,-1,0.00000,5020.00000,11
05/23/2008,-820.00000,-1,130.00000,3550.00000,11
05/24/2008,0.00000,0,0.00000,0.00000,11
05/25/2008,0.00000,0,0.00000,0.00000,11
05/26/2008,-1250.00000,-1,20.00000,1870.00000,11
05/27/2008,4510.00000,-1,-30.00000,5470.00000,11
05/28/2008,670.00000,0,140.00000,5620.00000,12
05/29/2008,-1520.00000,0,0.00000,7010.00000,14
05/30/2008,0.00000,0,0.00000,3630.00000,14
05/31/2008,0.00000,0,0.00000,0.00000,14
06/01/2008,0.00000,0,0.00000,0.00000,14
06/02/2008,0.00000,0,0.00000,4130.00000,14
06/03/2008,0.00000,0,0.00000,4110.00000,14
06/04/2008,0.00000,0,0.00000,3260.00000,14
06/05/2008,0.00000,0,0.00000,6770.00000,14
06/06/2008,0.00000,0,0.00000,11310.00000,14
06/07/2008,0.00000,0,0.00000,0.00000,14
06/08/2008,0.00000,0,0.00000,0.00000,14
06/09/2008,0.00000,0,0.00000,5250.00000,14
06/10/2008,0.00000,0,0.00000,7180.00000,14
06/11/2008,0.00000,0,0.00000,6950.00000,14
06/12/2008,0.00000,0,0.00000,5910.00000,14
06/13/2008,0.00000,0,0.00000,3620.00000,14
06/14/2008,0.00000,0,0.00000,0.00000,14
06/15/2008,0.00000,0,0.00000,0.00000,14
06/16/2008,0.00000,0,0.00000,7050.00000,14
06/17/2008,-1520.00000,0,0.00000,3230.00000,16
06/18/2008,0.00000,0,0.00000,4930.00000,16
06/19/2008,0.00000,0,0.00000,6240.00000,16
06/20/2008,0.00000,0,0.00000,5750.00000,16
06/21/2008,0.00000,0,0.00000,0.00000,16
06/22/2008,0.00000,0,0.00000,0.00000,16
06/23/2008,0.00000,0,0.00000,4090.00000,16
06/24/2008,0.00000,0,0.00000,2850.00000,16
06/25/2008,0.00000,0,0.00000,5630.00000,16
06/26/2008,0.00000,0,0.00000,6710.00000,16
06/27/2008,0.00000,0,0.00000,4380.00000,16
06/28/2008,0.00000,0,0.00000,0.00000,16
06/29/2008,0.00000,0,0.00000,0.00000,16
06/30/2008,0.00000,0,0.00000,4500.00000,16
07/01/2008,0.00000,0,0.00000,3380.00000,16
07/02/2008,0.00000,0,0.00000,4310.00000,16
07/03/2008,0.00000,0,0.00000,2630.00000,16
07/04/2008,0.00000,0,0.00000,1980.00000,16
07/05/2008,0.00000,0,0.00000,0.00000,16
07/06/2008,0.00000,0,0.00000,0.00000,16
07/07/2008,0.00000,0,0.00000,5030.00000,16
07/08/2008,-1520.00000,0,0.00000,7300.00000,18
07/09/2008,0.00000,0,0.00000,2940.00000,18
07/10/2008,5550.00000,1,0.00000,6700.00000,19
07/11/2008,940.00000,0,-180.00000,5830.00000,20
07/12/2008,0.00000,0,0.00000,0.00000,20
07/13/2008,0.00000,0,0.00000,0.00000,20
07/14/2008,-1520.00000,0,0.00000,3880.00000,22
07/15/2008,0.00000,0,0.00000,10810.00000,22
07/16/2008,0.00000,0,0.00000,7300.00000,22
07/17/2008,0.00000,0,0.00000,7750.00000,22
07/18/2008,0.00000,0,0.00000,3910.00000,22
07/19/2008,0.00000,0,0.00000,0.00000,22
07/20/2008,0.00000,0,0.00000,0.00000,22
07/21/2008,0.00000,0,0.00000,3630.00000,22
07/22/2008,0.00000,0,0.00000,6530.00000,22
07/23/2008,0.00000,0,0.00000,4580.00000,22
07/24/2008,0.00000,0,0.00000,2940.00000,22
07/25/2008,0.00000,0,0.00000,4010.00000,22
07/26/2008,0.00000,0,0.00000,0.00000,22
07/27/2008,0.00000,0,0.00000,0.00000,22
07/28/2008,1070.00000,1,0.00000,2590.00000,23
07/29/2008,-2590.00000,0,-30.00000,5430.00000,24
07/30/2008,0.00000,0,0.00000,6590.00000,24
07/31/2008,0.00000,0,0.00000,5180.00000,24
08/01/2008,0.00000,0,0.00000,6500.00000,24
08/02/2008,0.00000,0,0.00000,0.00000,24
08/03/2008,0.00000,0,0.00000,0.00000,24
08/04/2008,0.00000,0,0.00000,6850.00000,24
08/05/2008,0.00000,0,0.00000,3230.00000,24
08/06/2008,-1520.00000,0,0.00000,3380.00000,26
08/07/2008,0.00000,0,0.00000,3870.00000,26
08/08/2008,4540.00000,-1,0.00000,5460.00000,27
08/09/2008,0.00000,0,0.00000,0.00000,27
08/10/2008,0.00000,0,0.00000,0.00000,27
08/11/2008,1950.00000,0,-150.00000,4180.00000,28
08/12/2008,0.00000,0,0.00000,3640.00000,28
08/13/2008,0.00000,0,0.00000,4590.00000,28
08/14/2008,1590.00000,-1,0.00000,4830.00000,29
08/15/2008,990.00000,-1,-80.00000,3860.00000,29
08/16/2008,0.00000,0,0.00000,0.00000,29
08/17/2008,0.00000,0,0.00000,0.00000,29
08/18/2008,-2320.00000,0,-80.00000,3460.00000,31
08/19/2008,0.00000,0,0.00000,5040.00000,31
08/20/2008,0.00000,0,0.00000,4400.00000,31
08/21/2008,0.00000,0,0.00000,6640.00000,31
08/22/2008,0.00000,0,0.00000,7680.00000,31
08/23/2008,0.00000,0,0.00000,0.00000,31
08/24/2008,0.00000,0,0.00000,0.00000,31
08/25/2008,0.00000,0,0.00000,2380.00000,31
08/26/2008,-1300.00000,0,0.00000,5530.00000,33
08/27/2008,0.00000,0,0.00000,3990.00000,33
08/28/2008,0.00000,0,0.00000,6420.00000,33
08/29/2008,0.00000,0,0.00000,3760.00000,33
08/30/2008,0.00000,0,0.00000,0.00000,33
08/31/2008,0.00000,0,0.00000,0.00000,33
09/01/2008,0.00000,0,0.00000,6650.00000,33
09/02/2008,0.00000,0,0.00000,6040.00000,33
09/03/2008,0.00000,0,0.00000,3080.00000,33
09/04/2008,-1520.00000,0,0.00000,4080.00000,35
09/05/2008,0.00000,0,0.00000,2970.00000,35
09/06/2008,0.00000,0,0.00000,0.00000,35
09/07/2008,0.00000,0,0.00000,0.00000,35
09/08/2008,-1520.00000,0,0.00000,5190.00000,37
09/09/2008,0.00000,0,0.00000,5030.00000,37
09/10/2008,-100.00000,1,0.00000,3610.00000,38
09/11/2008,-1420.00000,0,30.00000,3850.00000,39
09/12/2008,0.00000,0,0.00000,2900.00000,39
09/13/2008,0.00000,0,0.00000,0.00000,39
09/14/2008,0.00000,0,0.00000,0.00000,39
09/15/2008,0.00000,0,0.00000,7130.00000,39
09/16/2008,0.00000,0,0.00000,3810.00000,39
09/17/2008,-1520.00000,0,0.00000,6090.00000,41
09/18/2008,0.00000,0,0.00000,6440.00000,41
09/19/2008,-1520.00000,0,0.00000,6230.00000,43
09/20/2008,0.00000,0,0.00000,0.00000,43
09/21/2008,0.00000,0,0.00000,0.00000,43
09/22/2008,0.00000,0,0.00000,8470.00000,43
09/23/2008,1490.00000,-1,0.00000,5530.00000,44
09/24/2008,-970.00000,0,-40.00000,4700.00000,45
09/25/2008,-1520.00000,0,0.00000,5450.00000,47
09/26/2008,0.00000,0,0.00000,3860.00000,47
09/27/2008,0.00000,0,0.00000,0.00000,47
09/28/2008,0.00000,0,0.00000,0.00000,47
09/29/2008,0.00000,0,0.00000,11870.00000,47
09/30/2008,-1520.00000,0,0.00000,9100.00000,49
10/01/2008,0.00000,0,0.00000,6890.00000,49
10/02/2008,-1520.00000,0,0.00000,6810.00000,51
10/03/2008,0.00000,0,0.00000,4730.00000,51
10/04/2008,0.00000,0,0.00000,0.00000,51
10/05/2008,0.00000,0,0.00000,0.00000,51
10/06/2008,-1520.00000,0,0.00000,5170.00000,53
10/07/2008,0.00000,0,0.00000,5150.00000,53
10/08/2008,-770.00000,0,0.00000,4940.00000,55
10/09/2008,0.00000,0,0.00000,5630.00000,55
10/10/2008,0.00000,0,0.00000,8040.00000,55
10/11/2008,0.00000,0,0.00000,0.00000,55
10/12/2008,0.00000,0,0.00000,0.00000,55
10/13/2008,0.00000,0,0.00000,3070.00000,55
10/14/2008,-1520.00000,0,0.00000,6520.00000,57
10/15/2008,0.00000,0,0.00000,5620.00000,57
10/16/2008,0.00000,0,0.00000,5930.00000,57
10/17/2008,0.00000,0,0.00000,4440.00000,57
10/18/2008,0.00000,0,0.00000,0.00000,57
10/19/2008,0.00000,0,0.00000,0.00000,57
10/20/2008,-1520.00000,0,0.00000,4280.00000,59
10/21/2008,4010.00000,-1,0.00000,5740.00000,60
10/22/2008,2480.00000,0,-120.00000,5600.00000,61
10/23/2008,2070.00000,1,0.00000,3520.00000,62
10/24/2008,3650.00000,-1,30.00000,6850.00000,63
10/25/2008,0.00000,0,0.00000,0.00000,63
10/26/2008,0.00000,0,0.00000,0.00000,63
10/27/2008,-800.00000,0,0.00000,4470.00000,65
10/28/2008,0.00000,0,0.00000,3590.00000,65
10/29/2008,0.00000,0,0.00000,5590.00000,65
10/30/2008,0.00000,0,0.00000,6560.00000,65
10/31/2008,0.00000,0,0.00000,5480.00000,65
11/01/2008,0.00000,0,0.00000,0.00000,65
11/02/2008,0.00000,0,0.00000,0.00000,65
11/03/2008,4570.00000,-1,0.00000,5560.00000,66
11/04/2008,6880.00000,0,200.00000,9520.00000,68
11/05/2008,4290.00000,-1,0.00000,5460.00000,69
11/06/2008,2200.00000,0,60.00000,5340.00000,70
11/07/2008,410.00000,1,0.00000,2850.00000,71
11/08/2008,0.00000,0,0.00000,0.00000,71
11/09/2008,0.00000,0,0.00000,0.00000,71
11/10/2008,830.00000,0,680.00000,6460.00000,73
11/11/2008,0.00000,0,0.00000,3960.00000,73
11/12/2008,0.00000,0,0.00000,3880.00000,73
11/13/2008,0.00000,0,0.00000,4990.00000,73
11/14/2008,0.00000,0,0.00000,4270.00000,73
11/15/2008,0.00000,0,0.00000,0.00000,73
11/16/2008,0.00000,0,0.00000,0.00000,73
11/17/2008,0.00000,0,0.00000,4260.00000,73
11/18/2008,-1520.00000,0,0.00000,2110.00000,75
11/19/2008,0.00000,0,0.00000,2390.00000,75
11/20/2008,0.00000,0,0.00000,5280.00000,75
11/21/2008,1190.00000,1,0.00000,2870.00000,76
11/22/2008,0.00000,0,0.00000,0.00000,76
11/23/2008,0.00000,0,0.00000,0.00000,76
11/24/2008,-1820.00000,0,590.00000,6500.00000,78
11/25/2008,0.00000,0,0.00000,4140.00000,78
11/26/2008,0.00000,0,0.00000,4820.00000,78
